[INFO][2023-02-27T13:13:02.309][log.go:58] _com_request_in||method=POST||body={\"username\":\"admin\",\"password\":\"123456\"}||from=127.0.0.1||traceid=a9fef1f163fc3bde2b2c2958e1dc23b0||uri=/admin_login/login||args=map[]||cspanid=||spanid=ca02ca2f41c9c070
[INFO][2023-02-27T13:13:02.309][log.go:58] _com_request_out||args=map[]||response={\"errno\":2001,\"errmsg\":\"get pool error\",\"data\":\"\",\"trace_id\":\"a9fef1f163fc3bde2b2c2958e1dc23b0\",\"stack\":\"get pool error\"}||cspanid=||uri=/admin_login/login||from=127.0.0.1||proc_time=0.0005367||traceid=a9fef1f163fc3bde2b2c2958e1dc23b0||spanid=ca02ca2f41c9c070||method=POST
[INFO][2023-02-27T13:13:03.170][log.go:58] _com_request_in||cspanid=||spanid=ca02ca2e2ba09be2||uri=/admin_login/login||args=map[]||from=127.0.0.1||traceid=a9fef1f163fc3bdf819829582349eeb0||method=POST||body={\"username\":\"admin\",\"password\":\"123456\"}
[INFO][2023-02-27T13:13:03.170][log.go:58] _com_request_out||args=map[]||from=127.0.0.1||proc_time=0.000687||cspanid=||uri=/admin_login/login||method=POST||response={\"errno\":2001,\"errmsg\":\"get pool error\",\"data\":\"\",\"trace_id\":\"a9fef1f163fc3bdf819829582349eeb0\",\"stack\":\"get pool error\"}||traceid=a9fef1f163fc3bdf819829582349eeb0||spanid=ca02ca2e2ba09be2
[INFO][2023-02-27T13:13:13.959][log.go:58] _com_request_in||body={\"username\":\"admin\",\"password\":\"123456\"}||cspanid=||spanid=ca02ca1832c14a8e||uri=/admin_login/login||method=POST||args=map[]||from=127.0.0.1||traceid=a9fef1f163fc3be924c42958d18876b0
[INFO][2023-02-27T13:13:13.959][log.go:58] _com_request_out||from=127.0.0.1||traceid=a9fef1f163fc3be924c42958d18876b0||cspanid=||spanid=ca02ca1832c14a8e||uri=/admin_login/login||args=map[]||proc_time=0||method=POST||response={\"errno\":2001,\"errmsg\":\"get pool error\",\"data\":\"\",\"trace_id\":\"a9fef1f163fc3be924c42958d18876b0\",\"stack\":\"get pool error\"}
[INFO][2023-02-27T13:16:19.907][log.go:58] _com_mysql_success||current_time=2023-02-27 13:16:19||affected_row=6||cspanid=||spanid=ca02cd5203691409||level=sql||source=F:/projects/go_gateway/dao/service_info.go:89||proc_time=0.000997s||sql=SELECT * FROM `gateway_service_info`  WHERE (is_delete=0) ORDER BY id desc LIMIT 99999 OFFSET 0||traceid=a9fef1f163fc3ca387f42ccc6e6296b0
[INFO][2023-02-27T13:16:19.907][log.go:58] _com_mysql_success||sql=SELECT count(*) FROM `gateway_service_info`  WHERE (is_delete=0) LIMIT 99999 OFFSET 0||affected_row=0||cspanid=||spanid=ca02cd5203691409||current_time=2023-02-27 13:16:19||source=F:/projects/go_gateway/dao/service_info.go:92||proc_time=0.000000s||traceid=a9fef1f163fc3ca387f42ccc6e6296b0||level=sql
[INFO][2023-02-27T13:16:19.907][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '61')||traceid=a9fef1f163fc3ca3bf442cccaf1108b0||cspanid=||spanid=ca02cd5201e60985||level=sql||current_time=2023-02-27 13:16:19||proc_time=0.001984s||affected_row=1||source=F:/projects/go_gateway/dao/service_http_rule.go:27
[INFO][2023-02-27T13:16:19.907][log.go:58] _com_mysql_success||affected_row=0||traceid=a9fef1f163fc3ca305442ccccbfadfb0||cspanid=||spanid=ca02cd526a462df3||level=sql||source=F:/projects/go_gateway/dao/service_tcp_rule.go:21||current_time=2023-02-27 13:16:19||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '61')||proc_time=0.000000s
[INFO][2023-02-27T13:16:19.907][log.go:58] _com_mysql_success||level=sql||source=F:/projects/go_gateway/dao/service_grpc_rule.go:22||current_time=2023-02-27 13:16:19||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '61')||affected_row=0||traceid=a9fef1f163fc3ca305442ccc8145a9b0||cspanid=||proc_time=0.001016s||spanid=ca02cd525045548e
[INFO][2023-02-27T13:16:19.907][log.go:58] _com_mysql_success||level=sql||source=F:/projects/go_gateway/dao/service_access_control.go:26||proc_time=0.001002s||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '61')||affected_row=1||traceid=a9fef1f163fc3ca384742ccc50a383b0||cspanid=||spanid=ca02cd5217e87caf||current_time=2023-02-27 13:16:19
